Ahyeon | BABYMONSTER {17}
Liz | IVE {20}
Lucy | WOOAH {20}
Lynn | tripleS {18}
Mashiro | Kep1er {25}
Mayu | tripleS {22}
Mia | EVERGLOW {25}
Mimi | OH MY GIRL {29}
Mina | TWICE {27}
Minji | NJZ {20}
Minju | ILLIT {20}
Minju | IZONE {24}
Minnie | (G)I-DLE {27}
Minseo | WOOAH {20}
Miyeon | (G)I-DLE {28}
Moka | ILLIT {20}
Momo | TWICE {28}
Moon | FIFTY FIFTY {21}
Moonbyul | MAMAMOO {32}
Nagyung | fromis_9 {24}
Nako | IZONE {23}
Nana | UNIS {17}
Nana | WOOAH {23}
Natty | KISS OF LIFE {22}
Nayeon | TWICE {29}
Nientz’u | tripleS {21}
NingNing | aespa {22}
ODD CHILD | Soloists {29}
Onda | EVERGLOW {24}
Pharita | BABYMONSTER {19}
Pirada | tripleS {18}
Rami | BABYMONSTER {17}
Rei | IVE {21}
Rora | BABYMONSTER {16}
Rose | BLACKPINK {28}
Ruka | BABYMONSTER {22}
Ryujin | ITZY {23}
Saena | FIFTY FIFTY {20}
Saerom | fromis_9 {28}
Sakura | IZONE {26}
Sakura | LE SSERAFIM {26}
Sana | TWICE {28}
Seeun | STAYC {21}
Seowon | UNIS {14}
Seoyeon | fromis_9 {25}
Seoyeon | tripleS {21}
Seulgi | Red Velvet {31}
Seunghee | OH MY GIRL {29}
Shion | tripleS {18}
Shuhua | (G)I-DLE {25}
Sieun | STAYC {23}
Sihyeon | EVERGLOW {25}
SinB | GFRIEND {26}
Sio | FIFTY FIFTY {20}
Siyeon | Dreamcatcher {29}
Sohee | ALICE {25}
Sohyun | tripleS {22}
Solar | MAMAMOO {33}
Somi | Soloists {23}
Songyee | WOOAH {20}
Soojin | (G)I-DLE {26}
Soomin | tripleS {17}
Sora | WOOAH {21}
Sowon | GFRIEND {29}
Soyeon | (G)I-DLE {26}
SuA | Dreamcatcher {30}
Suhyeon | tripleS {21}
Sullyoon | NMIXX {21}
Sumin | STAYC {23}
Taeyeon | Soloists {35}
Tzuyu | TWICE {25}
Umji | GFRIEND {26}
ViVi | LOONA {28}
Wendy | Red Velvet {30}
Wheein | MAMAMOO {29}
Winter | aespa {24}
Wonhee | ILLIT {17}
Wonyoung | IVE {20}
Wonyoung | IZONE {20}
Wooyeon | WOOAH {22}
Xiaoting | Kep1er {25}
XinYu | tripleS {22}
Yeji | ITZY {24}
Yena | IZONE {25}
YeoJin | LOONA {22}
Yeonje | ALICE {25}
Yeonji | tripleS {17}
Yeri | Red Velvet {25}
Yerin | GFRIEND {28}
Yeseo | Kep1er {19}
Yewon | FIFTY FIFTY {19}
Yiren | EVERGLOW {24}
YooA | OH MY GIRL {29}
Yoohyeon | Dreamcatcher {28}
Yoon | STAYC {20}
Yoona | UNIS {15}
Yooyeon | tripleS {24}
Youngeun | Kep1er {20}
Yubin | OH MY GIRL {27}
Yubin | tripleS {20}
Yujin | IVE {21}
Yujin | IZONE {21}
Yujin | Kep1er {28}
Yuju | GFRIEND {27}
Yukyung | ALICE {25}
Yuna | ITZY {21}
Yunah | ILLIT {21}
Yunha | UNIS {15}
Yunjin | LE SSERAFIM {23}
Yuqi | (G)I-DLE {25}
Yuri | IZONE {23}
Yves | LOONA {27}
